Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
January-2020,1.96,2.57,1.96,2.35,1254073,509,2893438.00,1254073,100.00,0.61,0.39
February-2020,2.46,2.97,2.35,2.83,1090072,222,3186631.00,1090072,100.00,0.62,0.37
March-2020,2.69,2.69,2.10,2.10,51451,26,122968.00,51451,100.00,0.59,-0.59
April-2020,2.05,2.05,1.55,1.57,1070771,417,1799757.00,1070771,100.00,0.50,-0.48
May-2020,1.50,1.78,1.48,1.78,629777,419,1002058.00,619447,98.36,0.30,0.28
June-2020,1.86,4.04,1.85,4.04,3915791,2774,12269112.00,3824877,97.68,2.19,2.18
July-2020,4.24,6.09,2.99,5.95,9591650,4841,44182519.00,9591650,100.00,3.10,1.71
August-2020,6.10,11.47,6.10,9.36,29739017,16575,282270331.00,22845364,76.82,5.37,3.26
September-2020,8.90,8.90,5.18,5.98,15654462,6075,111186730.00,10253350,65.50,3.72,-2.92
October-2020,6.03,7.32,4.81,6.79,3754809,4688,22033271.00,2623997,69.88,2.51,0.76
November-2020,7.10,7.12,5.51,5.59,1086080,2163,6582513.00,742236,68.34,1.61,-1.51
December-2020,5.54,7.36,5.47,6.75,7313847,4046,48538705.00,6360873,86.97,1.89,1.21
January-2021,6.74,8.70,6.31,7.35,3992155,6260,30549136.00,2913602,72.98,2.39,0.61
February-2021,7.71,8.25,6.30,6.47,2909724,5110,21247854.00,2140752,73.57,1.95,-1.24
March-2021,6.47,7.55,4.75,5.15,4847933,21388,30440101.00,3504459,72.29,2.80,-1.32
April-2021,5.38,10.65,4.48,10.65,54645200,7221,317131031.00,49163682,89.97,6.17,5.27
May-2021,11.18,20.09,10.90,17.30,42567349,28036,640724116.00,27898468,65.54,9.19,6.12
June-2021,18.15,44.40,18.15,44.40,31733538,35763,862105199.00,26792791,84.43,26.25,26.25
July-2021,46.40,70.65,40.10,66.90,28155034,69447,1560344047.00,28155034,100.00,30.55,20.50
August-2021,66.95,69.50,43.25,46.40,8993419,36729,493817920.00,8993419,100.00,26.25,-20.55
September-2021,46.00,50.00,39.80,44.40,4026847,22448,182336831.00,4026847,100.00,10.20,-1.60
October-2021,46.60,46.85,38.50,40.20,9400618,38867,399516008.00,7258318,77.21,8.35,-6.40
November-2021,40.70,56.45,40.05,42.90,16809125,57420,801943729.00,9654190,57.43,16.40,2.20
December-2021,43.80,64.30,42.45,47.55,22922488,72748,1168359185.00,11931411,52.05,21.85,3.75
January-2022,48.70,65.85,47.80,52.75,11762561,48386,674829628.00,6057825,51.50,18.05,4.05
February-2022,53.00,58.15,40.15,41.15,8358312,56428,412985186.00,4414630,52.82,18.00,-11.85
March-2022,41.70,52.50,40.10,46.10,6080570,43353,277074077.00,3407450,56.04,12.40,4.40
April-2022,46.40,52.25,42.15,42.70,5838377,45035,277394820.00,2784300,47.69,10.10,-3.70
May-2022,42.50,49.35,30.50,49.30,20277797,98674,786825874.00,7097070,35.00,18.85,6.80
June-2022,50.80,59.70,39.40,42.35,15170869,74821,742555367.00,8956238,59.04,20.30,-8.45
July-2022,43.25,45.40,40.70,43.55,4020133,37597,173529060.00,2449694,60.94,4.70,0.30
August-2022,43.55,58.40,42.50,51.60,10974717,64916,561971408.00,4322046,39.38,15.90,8.05
September-2022,51.60,55.80,45.50,46.90,11938599,63247,619946206.00,4276070,35.82,10.30,-4.70
October-2022,47.25,55.20,46.60,48.60,6903775,39552,350426932.00,2868176,41.55,8.60,1.35
November-2022,49.00,55.95,46.70,49.65,5733509,37780,287119881.00,2867215,50.01,9.25,0.65
December-2022,50.00,50.85,39.00,42.30,5605099,44384,252800773.00,3131290,55.87,11.85,-7.70
January-2023,42.95,50.40,41.05,43.95,7340062,45006,337691632.00,3790902,51.65,9.35,1.00
February-2023,44.40,45.75,36.75,38.35,4940025,39069,202380211.00,2371528,48.01,9.00,-6.05
March-2023,38.50,40.16,32.05,35.19,4988979,30500,181445309.00,2777347,55.67,8.11,-3.31
April-2023,35.79,41.42,35.41,39.76,5034516,31176,197859119.00,2091368,41.54,6.01,3.97
May-2023,40.00,41.50,37.01,37.92,2967331,23802,115796293.00,1413814,47.65,4.49,-2.08
June-2023,38.00,45.00,37.56,41.71,7117684,38906,290526696.00,3477046,48.85,7.44,3.71
July-2023,42.01,43.12,39.01,40.57,3531164,25557,144906102.00,2036399,57.67,4.11,-1.44
August-2023,40.70,63.90,40.32,61.65,20740729,127509,1091007875.00,9529579,45.95,23.58,20.95
September-2023,62.49,68.75,55.15,56.86,11791705,69673,723970171.00,5213620,44.21,13.60,-5.63
October-2023,56.70,59.20,48.45,51.71,13150485,35398,707248364.00,10044715,76.38,10.75,-4.99
November-2023,54.16,81.70,53.80,77.37,34951551,108464,2419856301.00,17913479,51.25,27.90,23.21
December-2023,77.37,86.00,71.97,76.28,27902951,110531,2228123280.00,8271327,29.64,14.03,-1.09
January-2024,76.29,94.16,74.85,88.09,19505746,122097,1635803963.00,7169967,36.76,19.31,11.80
February-2024,88.55,94.85,75.71,83.70,15839611,111469,1376246470.00,6263939,39.55,19.14,-4.85
March-2024,83.99,84.69,63.94,69.15,8571433,64973,620881413.00,3485625,40.67,20.75,-14.84
April-2024,71.54,79.20,67.90,74.80,7231996,59135,539836989.00,2925204,40.45,11.30,3.26
May-2024,74.82,84.99,68.26,72.92,10335708,77523,800260108.00,3699664,35.79,16.73,-1.90
June-2024,76.23,90.00,59.20,84.54,14262074,101483,1146071781.00,5743117,40.27,30.80,8.31
July-2024,84.98,84.98,71.08,79.58,7031850,62058,555102653.00,3044303,43.29,13.90,-5.40
August-2024,80.10,92.10,71.04,79.71,28710005,150193,2384233673.00,11149888,38.84,21.06,-0.39
September-2024,79.72,84.72,75.81,76.29,13993237,59921,1130535201.00,7723905,55.20,8.91,-3.43
October-2024,76.89,77.44,61.21,74.40,9780187,70257,687342526.00,3411919,34.89,16.23,-2.49
November-2024,74.99,77.50,59.90,65.88,9011551,57180,593263254.00,3423540,37.99,17.60,-9.11
December-2024,65.88,74.27,62.54,63.80,6031502,38529,420824367.00,2140508,35.49,11.73,-2.08
January-2025,63.79,66.08,50.21,54.58,5718719,51489,332874665.00,2148800,37.57,15.87,-9.21
February-2025,54.97,60.00,43.00,44.20,5743655,56081,287225709.00,2040311,35.52,17.00,-10.77
